LOC,PC1
1,-0.38626288947323106
2,-0.6521973876925118
3,-0.6218163120275676
4,-0.6329912291943849
5,-0.5942384891716184
6,-0.6374534918478056
7,-0.5440283402868898
8,-0.6563617656260936
9,-0.6394118499877643
10,-0.6346986741583376
11,-0.6142193373071113
12,-0.6425755714860477
13,-0.5908661253497793
14,-0.6234967762861876
15,-0.6264869919996243
16,-0.5805631892879645
17,-0.510398625254081
18,-0.6314293270461757
19,-0.682046357750359
20,-0.5870443577870477
21,-0.6708429975348174
22,-0.6069225920996237
23,-0.48788482203462274
24,-0.6022620333895049
25,-0.6404272863270064
26,-0.4918910032420382
27,-0.4949046616729354
28,-0.592627529244719
29,-0.5978343808879695
30,-0.5896735709295873
31,-0.6863802447293887
32,-0.593686165067059
33,-0.5949801814807182
34,-0.6327042660505021
35,-0.4196976002469904
36,-0.3890219302148883
37,-0.37673707484227004
38,-0.4532607912515939
39,-0.39532529725857984
40,-0.44936444413975424
41,-0.6478506412945172
42,-0.44643331294023025
43,-0.63616205215819
44,-0.7230205871903881
45,-0.4943062112295223
46,-0.3860931504673022
47,-0.40126883634555455
48,-0.45655701607432014
49,-0.3488185666749545
50,-0.7297236236061863
51,-0.504304168079567
52,-0.6515368412228829
53,-0.6845938882230936
54,-0.7145749938946296
55,-0.48890220657476485
56,-0.6565909602703859
57,-0.7465718446090277
58,-0.7467931205627991
59,-0.7084349640914782
60,-0.7468445440663896
61,-0.6775484646727941
62,-0.6559815580082942
63,-0.6560080768665081
64,-0.3874470569844555
65,-0.543777469827568
66,-0.44876672789654704
67,-0.6105473731905303
68,-0.4049692849794984
69,-0.39215541322254033
70,-0.6478831671645301
71,-0.4408926150761127
72,-0.4477824000234329
73,-0.45479899331835016
74,-0.7486096194022049
75,-0.5888723598217821
76,-0.6228996890865635
77,-0.6358706199019825
78,-0.6340235076185172
79,-0.6328684981112017
80,-0.6330376964116454
81,-0.6543413830318108
82,-0.45010704328738493
83,-0.6462895165604966
84,-0.6603851721413408
85,-0.6569496953852286
86,-0.7039018886425479
87,-0.6580119666204379
88,-0.6591841201623899
89,-0.7128693173883439
90,-0.7477855568460282
91,-0.7586795559830206
92,-0.750371495344289
93,-0.7417242198638306
94,-0.7588127961141152
95,-0.7476523125779019
96,-0.7027241167789186
97,-0.7449896002587787
98,-0.7389796445569045
99,-0.7154165996877201
100,-0.7587515677887059
101,-0.7471968325320854
102,-0.7470557695613598
103,-0.7233655297478605
104,-0.7297153130613061
105,-0.7291089839761676
106,-0.7615613266423069
107,-0.7288665790545411
108,-0.7274708757211908
109,-0.7470259630265054
110,-0.7492499973194086
111,-0.7472275978565897
112,-0.7580483550124539
113,-0.44518853936568065
114,-0.6444905567243553
115,-0.6632008864995439
116,-0.38597892070605666
117,-0.4517385346087503
118,-0.35302373738534454
119,-0.7564019133008194
120,-0.7459218155190206
121,-0.34225826317711694
122,-0.7619260712517542
123,-0.3417022126454645
124,-0.6748624807664217
125,-0.7239536278664468
126,-0.75026445217321025
127,-0.745773635608608
128,-0.4467589422569864
129,-0.38735143146696643
130,-0.3883766346599328
131,-0.6442300874284808
132,-0.4514249571913395
133,-0.39068106468093644
134,-0.6431520963055226
135,-0.6488541049489058
136,-0.6456507574933078
137,-0.6531511336661853
138,-0.5260623908411733
139,-0.6420951671841322
140,-0.6546875537275458
141,-0.6180956236943587
142,-0.6568358728353162
143,-0.525035972996899
144,-0.5119133963775095
145,-0.5502762318822609
146,-0.5317151678828362
147,-0.5932854997164869
148,-0.6357575562180243
149,-0.6578320418781903
